,location,total_sqft,bath,price,size_bhk,price_per_sqft
0, Devarachikkanahalli,1250.0,2.0,4400000.0,3,3520.0
1, Devarachikkanahalli,1250.0,2.0,4000000.0,2,3200.0
2, Devarachikkanahalli,1200.0,2.0,8300000.0,2,6917.0
3, Devarachikkanahalli,1170.0,2.0,4000000.0,2,3419.0
4, Devarachikkanahalli,1425.0,2.0,6500000.0,3,4562.0
5, Devarachikkanahalli,947.0,2.0,4300000.0,2,4541.0
6, Devarachikkanahalli,1130.0,2.0,3600000.0,2,3186.0
7, Devarachikkanahalli,1417.0,2.0,7600000.0,3,5364.0
8, Devarachikkanahalli,1230.0,2.0,5800000.0,2,4716.0
9, Devarachikkanahalli,1705.0,3.0,7500000.0,3,4399.0
10, Devarachikkanahalli,1116.0,2.0,4700000.0,2,4212.0
11, Devarachikkanahalli,991.0,2.0,4000000.0,2,4037.0
12, Devarachikkanahalli,1700.0,3.0,7100000.0,3,4177.0
13,1st Block Jayanagar,2850.0,4.0,42800000.0,4,15018.0
14,1st Block Jayanagar,1630.0,3.0,19400000.0,3,11902.0
15,1st Block Jayanagar,1200.0,6.0,12500000.0,6,10417.0
16,1st Block Jayanagar,1875.0,2.0,23500000.0,3,12534.0
17,1st Block Jayanagar,930.0,4.0,8500000.0,7,9140.0
18,1st Block Jayanagar,700.0,4.0,10400000.0,8,14858.0
19,1st Block Jayanagar,1200.0,2.0,13000000.0,3,10834.0
20,1st Block Jayanagar,1235.0,2.0,14800000.0,2,11984.0
21,1st Block Jayanagar,2750.0,4.0,41300000.0,4,15019.0
22,1st Block Jayanagar,2450.0,4.0,36800000.0,4,15021.0
23,1st Phase JP Nagar,2825.0,4.0,25000000.0,4,8850.0
24,1st Phase JP Nagar,1875.0,3.0,16700000.0,3,8907.0
25,1st Phase JP Nagar,1500.0,5.0,8500000.0,5,5667.0
26,1st Phase JP Nagar,2065.0,4.0,21000000.0,3,10170.0
27,1st Phase JP Nagar,2024.0,3.0,15700000.0,3,7757.0
28,1st Phase JP Nagar,2059.0,3.0,22500000.0,3,10928.0
29,1st Phase JP Nagar,1394.0,2.0,10000000.0,2,7174.0
30,1st Phase JP Nagar,1077.0,2.0,9300000.0,2,8636.0
31,1st Phase JP Nagar,1566.0,2.0,18000000.0,2,11495.0
32,1st Phase JP Nagar,840.0,2.0,5000000.0,1,5953.0
33,1st Phase JP Nagar,1590.0,3.0,13100000.0,3,8239.0
34,1st Phase JP Nagar,2180.0,3.0,21000000.0,3,9634.0
35,1st Phase JP Nagar,1180.0,2.0,8850000.0,2,7500.0
36,1st Phase JP Nagar,1200.0,2.0,8600000.0,2,7167.0
37,1st Phase JP Nagar,1394.0,2.0,8500000.0,2,6098.0
38,1st Phase JP Nagar,2077.0,3.0,17500000.0,3,8426.0
39,1st Phase JP Nagar,4550.0,2.0,24000000.0,4,5275.0
40,1st Phase JP Nagar,1205.0,2.0,8500000.0,2,7054.0
41,1st Phase JP Nagar,2615.0,5.0,22200000.0,4,8490.0
42,1st Phase JP Nagar,900.0,2.0,7500000.0,2,8334.0
43,2nd Stage Nagarbhavi,1500.0,4.0,22000000.0,4,14667.0
44,2nd Stage Nagarbhavi,3000.0,8.0,45100000.0,6,15034.0
45,2nd Stage Nagarbhavi,2400.0,8.0,45000000.0,6,18750.0
46,2nd Stage Nagarbhavi,1200.0,4.0,24500000.0,4,20417.0
47,2nd Stage Nagarbhavi,1350.0,4.0,20000000.0,4,14815.0
48,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
49,2nd Stage Nagarbhavi,600.0,3.0,9500000.0,4,15834.0
50,2nd Stage Nagarbhavi,600.0,4.0,10000000.0,3,16667.0
51,2nd Stage Nagarbhavi,1200.0,4.0,22500000.0,4,18750.0
52,2nd Stage Nagarbhavi,600.0,4.0,12500000.0,4,20834.0
53,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
54,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
55,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
56,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
57,2nd Stage Nagarbhavi,1500.0,3.0,23000000.0,4,15334.0
58,2nd Stage Nagarbhavi,600.0,3.0,8400000.0,4,14000.0
59,2nd Stage Nagarbhavi,600.0,3.0,8200000.0,4,13667.0
60,2nd Stage Nagarbhavi,1500.0,4.0,23300000.0,6,15534.0
61,2nd Stage Nagarbhavi,1200.0,4.0,24000000.0,5,20000.0
62,5th Phase JP Nagar,1075.0,2.0,6000000.0,2,5582.0
63,5th Phase JP Nagar,1150.0,3.0,5250000.0,2,4566.0
64,5th Phase JP Nagar,1070.0,2.0,3900000.0,2,3645.0
65,5th Phase JP Nagar,1256.0,2.0,6280000.0,2,5000.0
66,5th Phase JP Nagar,1207.0,2.0,6300000.0,2,5220.0
67,5th Phase JP Nagar,1725.0,2.0,10000000.0,3,5798.0
68,5th Phase JP Nagar,1440.0,2.0,6000000.0,2,4167.0
69,5th Phase JP Nagar,1400.0,2.0,8800000.0,3,6286.0
70,5th Phase JP Nagar,1450.0,2.0,5800000.0,2,4000.0
71,5th Phase JP Nagar,1700.0,2.0,10000000.0,3,5883.0
72,5th Phase JP Nagar,1485.0,2.0,6700000.0,3,4512.0
73,5th Phase JP Nagar,2500.0,5.0,11000000.0,5,4400.0
74,5th Phase JP Nagar,600.0,1.0,3000000.0,1,5000.0
75,5th Phase JP Nagar,1390.0,2.0,6500000.0,2,4677.0
76,5th Phase JP Nagar,1256.0,2.0,6280000.0,2,5000.0
77,5th Phase JP Nagar,1220.0,2.0,8800000.0,2,7214.0
78,5th Phase JP Nagar,1000.0,2.0,4800000.0,2,4800.0
79,5th Phase JP Nagar,1350.0,2.0,7500000.0,3,5556.0
80,5th Phase JP Nagar,552.0,1.0,2350000.0,1,4258.0
81,5th Phase JP Nagar,1200.0,2.0,5100000.0,2,4250.0
82,5th Phase JP Nagar,1240.0,3.0,6000000.0,3,4839.0
83,5th Phase JP Nagar,1550.0,3.0,7500000.0,3,4839.0
84,5th Phase JP Nagar,1485.0,2.0,6600000.0,3,4445.0
85,5th Phase JP Nagar,1030.0,2.0,5700000.0,2,5534.0
86,5th Phase JP Nagar,1200.0,2.0,6800000.0,2,5667.0
87,5th Phase JP Nagar,1190.0,2.0,6180000.0,2,5194.0
88,5th Phase JP Nagar,4000.0,5.0,17000000.0,5,4250.0
89,5th Phase JP Nagar,1080.0,2.0,5300000.0,2,4908.0
90,5th Phase JP Nagar,1041.0,2.0,5400000.0,2,5188.0
91,5th Phase JP Nagar,812.0,2.0,4200000.0,2,5173.0
92,5th Phase JP Nagar,1010.0,2.0,5700000.0,2,5644.0
93,5th Phase JP Nagar,1450.0,2.0,7300000.0,3,5035.0
94,5th Phase JP Nagar,2500.0,8.0,9500000.0,7,3800.0
95,5th Phase JP Nagar,1075.0,2.0,6000000.0,2,5582.0
96,5th Phase JP Nagar,2400.0,4.0,22800000.0,4,9500.0
97,6th Phase JP Nagar,1192.0,2.0,7400000.0,2,6209.0
98,6th Phase JP Nagar,1180.0,2.0,8000000.0,2,6780.0
99,6th Phase JP Nagar,3245.0,4.0,25000000.0,4,7705.0
100,6th Phase JP Nagar,1645.0,3.0,10000000.0,3,6080.0
101,6th Phase JP Nagar,1280.0,2.0,5600000.0,2,4375.0
102,6th Phase JP Nagar,1140.0,2.0,6500000.0,2,5702.0
103,6th Phase JP Nagar,1650.0,6.0,13500000.0,8,8182.0
104,6th Phase JP Nagar,2040.0,3.0,20000000.0,3,9804.0
105,6th Phase JP Nagar,1213.0,2.0,6300000.0,2,5194.0
106,6th Phase JP Nagar,1350.0,2.0,5800000.0,3,4297.0
107,6th Phase JP Nagar,1170.0,2.0,12000000.0,2,10257.0
108,6th Phase JP Nagar,1216.0,2.0,6000000.0,2,4935.0
109,6th Phase JP Nagar,1460.0,2.0,8000000.0,2,5480.0
110,6th Phase JP Nagar,2003.0,3.0,20000000.0,3,9986.0
111,6th Phase JP Nagar,1810.0,3.0,13100000.0,3,7238.0
112,6th Phase JP Nagar,1515.0,2.0,13500000.0,3,8911.0
113,6th Phase JP Nagar,1192.0,2.0,7500000.0,2,6292.0
114,6th Phase JP Nagar,1280.0,2.0,8800000.0,2,6875.0
115,7th Phase JP Nagar,1080.0,2.0,7200000.0,2,6667.0
116,7th Phase JP Nagar,1270.0,2.0,9300000.0,2,7323.0
117,7th Phase JP Nagar,1420.0,2.0,10000000.0,3,7043.0
118,7th Phase JP Nagar,1850.0,3.0,15000000.0,3,8109.0
119,7th Phase JP Nagar,1245.0,2.0,9400000.0,2,7551.0
120,7th Phase JP Nagar,1175.0,2.0,8200000.0,2,6979.0
121,7th Phase JP Nagar,1400.0,2.0,9500000.0,3,6786.0
122,7th Phase JP Nagar,2225.0,3.0,16000000.0,3,7192.0
123,7th Phase JP Nagar,1050.0,2.0,7100000.0,2,6762.0
124,7th Phase JP Nagar,1100.0,2.0,4600000.0,2,4182.0
125,7th Phase JP Nagar,918.0,2.0,5049000.0,2,5500.0
126,7th Phase JP Nagar,1450.0,2.0,10000000.0,3,6897.0
127,7th Phase JP Nagar,1070.0,2.0,4279000.0,2,4000.0
128,7th Phase JP Nagar,1190.0,2.0,4998000.0,2,4200.0
129,7th Phase JP Nagar,1420.0,2.0,9600000.0,3,6761.0
130,7th Phase JP Nagar,1680.0,3.0,12000000.0,3,7143.0
131,7th Phase JP Nagar,1050.0,2.0,4200000.0,2,4000.0
132,7th Phase JP Nagar,980.0,2.0,6900000.0,2,7041.0
133,7th Phase JP Nagar,1035.0,2.0,4139000.0,2,4000.0
134,7th Phase JP Nagar,1370.0,2.0,5617000.0,2,4100.0
135,7th Phase JP Nagar,1180.0,2.0,7200000.0,2,6102.0
136,7th Phase JP Nagar,5080.0,7.0,45000000.0,6,8859.0
137,7th Phase JP Nagar,1300.0,2.0,5200000.0,3,4000.0
138,7th Phase JP Nagar,1050.0,2.0,5700000.0,3,5429.0
139,7th Phase JP Nagar,1343.0,2.0,5641000.0,3,4201.0
140,7th Phase JP Nagar,1405.0,2.0,5901000.0,3,4200.0
141,7th Phase JP Nagar,1400.0,3.0,11500000.0,3,8215.0
142,7th Phase JP Nagar,1075.0,2.0,4299000.0,2,4000.0
143,7th Phase JP Nagar,1100.0,2.0,4400000.0,2,4000.0
144,7th Phase JP Nagar,1270.0,2.0,8300000.0,2,6536.0
145,7th Phase JP Nagar,3300.0,4.0,15000000.0,4,4546.0
146,7th Phase JP Nagar,2503.0,4.0,18800000.0,4,7511.0
147,7th Phase JP Nagar,2200.0,3.0,19000000.0,3,8637.0
148,7th Phase JP Nagar,1250.0,3.0,6500000.0,3,5200.0
149,7th Phase JP Nagar,1050.0,2.0,4200000.0,2,4000.0
